Year,Quarter,Rigs,Country,Lat,LON
2011,Q2,188,Canada,55.37426,-118.137329
2011,Q1,587,Canada,55.37426,-118.137329
2010,Q4,405,Canada,55.37426,-118.137329
2010,Q3,361,Canada,55.37426,-118.137329
2010,Q2,166,Canada,55.37426,-118.137329
2010,Q1,470,Canada,55.37426,-118.137329
2009,Q4,278,Canada,55.37426,-118.137329
2009,Q3,187,Canada,55.37426,-118.137329
2009,Q2,90,Canada,55.37426,-118.137329
2009,Q1,329,Canada,55.37426,-118.137329
2008,Q4,408,Canada,55.37426,-118.137329
2008,Q3,432,Canada,55.37426,-118.137329
2008,Q2,169,Canada,55.37426,-118.137329
2008,Q1,507,Canada,55.37426,-118.137329
2007,Q4,356,Canada,55.37426,-118.137329
2007,Q3,348,Canada,55.37426,-118.137329
2007,Q2,139,Canada,55.37426,-118.137329
2007,Q1,532,Canada,55.37426,-118.137329
2006,Q4,440,Canada,55.37426,-118.137329
2006,Q3,494,Canada,55.37426,-118.137329
2006,Q2,282,Canada,55.37426,-118.137329
2006,Q1,665,Canada,55.37426,-118.137329
2005,Q4,572,Canada,55.37426,-118.137329
2005,Q3,497,Canada,55.37426,-118.137329
2005,Q2,241,Canada,55.37426,-118.137329
2005,Q1,521,Canada,55.37426,-118.137329
2004,Q4,420,Canada,55.37426,-118.137329
2004,Q3,326,Canada,55.37426,-118.137329
2004,Q2,202,Canada,55.37426,-118.137329
2004,Q1,528,Canada,55.37426,-118.137329
2003,Q4,408,Canada,55.37426,-118.137329
2003,Q3,383,Canada,55.37426,-118.137329
2003,Q2,203,Canada,55.37426,-118.137329
2003,Q1,494,Canada,55.37426,-118.137329
2002,Q4,283,Canada,55.37426,-118.137329
2002,Q3,250,Canada,55.37426,-118.137329
2002,Q2,147,Canada,55.37426,-118.137329
2002,Q1,383,Canada,55.37426,-118.137329
2001,Q4,278,Canada,55.37426,-118.137329
2001,Q3,320,Canada,55.37426,-118.137329
2001,Q2,252,Canada,55.37426,-118.137329
2001,Q1,515,Canada,55.37426,-118.137329
2000,Q4,375,Canada,55.37426,-118.137329
2000,Q3,314,Canada,55.37426,-118.137329
2000,Q2,209,Canada,55.37426,-118.137329
2000,Q1,480,Canada,55.37426,-118.137329
1999,Q4,337,Canada,55.37426,-118.137329
1999,Q3,253,Canada,55.37426,-118.137329
1999,Q2,104,Canada,55.37426,-118.137329
1999,Q1,290,Canada,55.37426,-118.137329
1998,Q4,201,Canada,55.37426,-118.137329
1998,Q3,205,Canada,55.37426,-118.137329
1998,Q2,174,Canada,55.37426,-118.137329
1998,Q1,459,Canada,55.37426,-118.137329
1997,Q4,451,Canada,55.37426,-118.137329
1997,Q3,398,Canada,55.37426,-118.137329
1997,Q2,255,Canada,55.37426,-118.137329
1997,Q1,395,Canada,55.37426,-118.137329
1996,Q4,317,Canada,55.37426,-118.137329
1996,Q3,275,Canada,55.37426,-118.137329
1996,Q2,150,Canada,55.37426,-118.137329
1996,Q1,341,Canada,55.37426,-118.137329
1995,Q4,225,Canada,55.37426,-118.137329
1995,Q3,220,Canada,55.37426,-118.137329
1995,Q2,146,Canada,55.37426,-118.137329
1995,Q1,327,Canada,55.37426,-118.137329
1994,Q4,291,Canada,55.37426,-118.137329
1994,Q3,279,Canada,55.37426,-118.137329
1994,Q2,170,Canada,55.37426,-118.137329
1994,Q1,298,Canada,55.37426,-118.137329
2019,Q3,920,US,32.145596,-102.062413
2019,Q2,989,US,32.145596,-102.062413
2019,Q1,1046,US,32.145596,-102.062413
2018,Q4,1072,US,32.145596,-102.062413
2018,Q3,1051,US,32.145596,-102.062413
2018,Q2,1038,US,32.145596,-102.062413
2018,Q1,965,US,32.145596,-102.062413
2017,Q4,921,US,32.145596,-102.062413
2017,Q3,947,US,32.145596,-102.062413
2017,Q2,892,US,32.145596,-102.062413
2017,Q1,739,US,32.145596,-102.062413
2016,Q4,586,US,32.145596,-102.062413
2016,Q3,480,US,32.145596,-102.062413
2016,Q2,421,US,32.145596,-102.062413
2016,Q1,555,US,32.145596,-102.062413
2015,Q4,755,US,32.145596,-102.062413
2015,Q3,866,US,32.145596,-102.062413
2015,Q2,909,US,32.145596,-102.062413
2015,Q1,1380,US,32.145596,-102.062413
2014,Q4,1911,US,32.145596,-102.062413
2014,Q3,1903,US,32.145596,-102.062413
2014,Q2,1852,US,32.145596,-102.062413
2014,Q1,1780,US,32.145596,-102.062413
2013,Q4,1757,US,32.145596,-102.062413
2013,Q3,1769,US,32.145596,-102.062413
2013,Q2,1761,US,32.145596,-102.062413
2013,Q1,1758,US,32.145596,-102.062413
2012,Q4,1809,US,32.145596,-102.062413
2012,Q3,1906,US,32.145596,-102.062413
2012,Q2,1970,US,32.145596,-102.062413
2012,Q1,1991,US,32.145596,-102.062413
2011,Q4,2010,US,32.145596,-102.062413
2011,Q3,1945,US,32.145596,-102.062413
2011,Q2,1830,US,32.145596,-102.062413
2011,Q1,1716,US,32.145596,-102.062413
2010,Q4,1687,US,32.145596,-102.062413
2010,Q3,1622,US,32.145596,-102.062413
2010,Q2,1508,US,32.145596,-102.062413
2010,Q1,1345,US,32.145596,-102.062413
2009,Q4,1108,US,32.145596,-102.062413
2009,Q3,973,US,32.145596,-102.062413
2009,Q2,936,US,32.145596,-102.062413
2009,Q1,1326,US,32.145596,-102.062413
2008,Q4,1898,US,32.145596,-102.062413
2008,Q3,1978,US,32.145596,-102.062413
2008,Q2,1864,US,32.145596,-102.062413
2008,Q1,1770,US,32.145596,-102.062413
2007,Q4,1790,US,32.145596,-102.062413
2007,Q3,1788,US,32.145596,-102.062413
2007,Q2,1757,US,32.145596,-102.062413
2007,Q1,1733,US,32.145596,-102.062413
2006,Q4,1719,US,32.145596,-102.062413
2006,Q3,1719,US,32.145596,-102.062413
2006,Q2,1632,US,32.145596,-102.062413
2006,Q1,1519,US,32.145596,-102.062413
2005,Q4,1478,US,32.145596,-102.062413
2005,Q3,1428,US,32.145596,-102.062413
2005,Q2,1336,US,32.145596,-102.062413
2005,Q1,1279,US,32.145596,-102.062413
2004,Q4,1249,US,32.145596,-102.062413
2004,Q3,1229,US,32.145596,-102.062413
2004,Q2,1164,US,32.145596,-102.062413
2004,Q1,1119,US,32.145596,-102.062413
2003,Q4,1109,US,32.145596,-102.062413
2003,Q3,1088,US,32.145596,-102.062413
2003,Q2,1028,US,32.145596,-102.062413
2003,Q1,901,US,32.145596,-102.062413
2002,Q4,847,US,32.145596,-102.062413
2002,Q3,853,US,32.145596,-102.062413
2002,Q2,806,US,32.145596,-102.062413
2002,Q1,818,US,32.145596,-102.062413
2001,Q4,1004,US,32.145596,-102.062413
2001,Q3,1241,US,32.145596,-102.062413
2001,Q2,1237,US,32.145596,-102.062413
2001,Q1,1139,US,32.145596,-102.062413
2000,Q4,1073,US,32.145596,-102.062413
2000,Q3,980,US,32.145596,-102.062413
2000,Q2,842,US,32.145596,-102.062413
2000,Q1,770,US,32.145596,-102.062413
1999,Q4,774,US,32.145596,-102.062413
1999,Q3,641,US,32.145596,-102.062413
1999,Q2,523,US,32.145596,-102.062413
1999,Q1,552,US,32.145596,-102.062413
1998,Q4,690,US,32.145596,-102.062413
1998,Q3,794,US,32.145596,-102.062413
1998,Q2,865,US,32.145596,-102.062413
1998,Q1,966,US,32.145596,-102.062413
1997,Q4,997,US,32.145596,-102.062413
1997,Q3,990,US,32.145596,-102.062413
1997,Q2,934,US,32.145596,-102.062413
1997,Q1,856,US,32.145596,-102.062413
1996,Q4,840,US,32.145596,-102.062413
1996,Q3,802,US,32.145596,-102.062413
1996,Q2,760,US,32.145596,-102.062413
1996,Q1,708,US,32.145596,-102.062413
1995,Q4,763,US,32.145596,-102.062413
1995,Q3,744,US,32.145596,-102.062413
1995,Q2,679,US,32.145596,-102.062413
1995,Q1,709,US,32.145596,-102.062413
1994,Q4,824,US,32.145596,-102.062413
1994,Q3,782,US,32.145596,-102.062413
1994,Q2,732,US,32.145596,-102.062413
1994,Q1,759,US,32.145596,-102.062413
