Year,Quarter,Rigs,Country,Lat,LON
2014,Q2,149,Europe,52.658645,31.481963
2014,Q1,135,Europe,52.658645,31.481963
2013,Q4,133,Europe,52.658645,31.481963
2013,Q3,140,Europe,52.658645,31.481963
2013,Q2,133,Europe,52.658645,31.481963
2013,Q1,134,Europe,52.658645,31.481963
2012,Q4,129,Europe,52.658645,31.481963
2012,Q3,117,Europe,52.658645,31.481963
2012,Q2,117,Europe,52.658645,31.481963
2012,Q1,112,Europe,52.658645,31.481963
2011,Q4,119,Europe,52.658645,31.481963
2011,Q3,123,Europe,52.658645,31.481963
2011,Q2,112,Europe,52.658645,31.481963
2011,Q1,118,Europe,52.658645,31.481963
2010,Q4,100,Europe,52.658645,31.481963
2010,Q3,92,Europe,52.658645,31.481963
2010,Q2,96,Europe,52.658645,31.481963
2010,Q1,88,Europe,52.658645,31.481963
2009,Q4,85,Europe,52.658645,31.481963
2009,Q3,78,Europe,52.658645,31.481963
2009,Q2,82,Europe,52.658645,31.481963
2009,Q1,90,Europe,52.658645,31.481963
2008,Q4,103,Europe,52.658645,31.481963
2008,Q3,101,Europe,52.658645,31.481963
2008,Q2,97,Europe,52.658645,31.481963
2008,Q1,91,Europe,52.658645,31.481963
2007,Q4,77,Europe,52.658645,31.481963
2007,Q3,79,Europe,52.658645,31.481963
2007,Q2,80,Europe,52.658645,31.481963
2007,Q1,75,Europe,52.658645,31.481963
2006,Q4,70,Europe,52.658645,31.481963
2006,Q3,76,Europe,52.658645,31.481963
2006,Q2,82,Europe,52.658645,31.481963
2006,Q1,82,Europe,52.658645,31.481963
2005,Q4,73,Europe,52.658645,31.481963
2005,Q3,74,Europe,52.658645,31.481963
2005,Q2,72,Europe,52.658645,31.481963
2005,Q1,61,Europe,52.658645,31.481963
2004,Q4,67,Europe,52.658645,31.481963
2004,Q3,62,Europe,52.658645,31.481963
2004,Q2,76,Europe,52.658645,31.481963
2004,Q1,74,Europe,52.658645,31.481963
2003,Q4,80,Europe,52.658645,31.481963
2003,Q3,88,Europe,52.658645,31.481963
2003,Q2,83,Europe,52.658645,31.481963
2003,Q1,82,Europe,52.658645,31.481963
2002,Q4,85,Europe,52.658645,31.481963
2002,Q3,79,Europe,52.658645,31.481963
2002,Q2,94,Europe,52.658645,31.481963
2002,Q1,94,Europe,52.658645,31.481963
2001,Q4,100,Europe,52.658645,31.481963
2001,Q3,96,Europe,52.658645,31.481963
2001,Q2,95,Europe,52.658645,31.481963
2001,Q1,89,Europe,52.658645,31.481963
2000,Q4,88,Europe,52.658645,31.481963
2000,Q3,90,Europe,52.658645,31.481963
2000,Q2,82,Europe,52.658645,31.481963
2000,Q1,73,Europe,52.658645,31.481963
1999,Q4,72,Europe,52.658645,31.481963
1999,Q3,77,Europe,52.658645,31.481963
1999,Q2,87,Europe,52.658645,31.481963
1999,Q1,87,Europe,52.658645,31.481963
1998,Q4,88,Europe,52.658645,31.481963
1998,Q3,95,Europe,52.658645,31.481963
1998,Q2,103,Europe,52.658645,31.481963
1998,Q1,108,Europe,52.658645,31.481963
1997,Q4,112,Europe,52.658645,31.481963
1997,Q3,107,Europe,52.658645,31.481963
1997,Q2,112,Europe,52.658645,31.481963
1997,Q1,121,Europe,52.658645,31.481963
1996,Q4,116,Europe,52.658645,31.481963
1996,Q3,119,Europe,52.658645,31.481963
1996,Q2,124,Europe,52.658645,31.481963
1996,Q1,120,Europe,52.658645,31.481963
1995,Q4,122,Europe,52.658645,31.481963
1995,Q3,113,Europe,52.658645,31.481963
1995,Q2,111,Europe,52.658645,31.481963
1995,Q1,103,Europe,52.658645,31.481963
1994,Q4,105,Europe,52.658645,31.481963
1994,Q3,103,Europe,52.658645,31.481963
1994,Q2,107,Europe,52.658645,31.481963
1994,Q1,111,Europe,52.658645,31.481963
2019,Q3,114,Africa,12.024691,12.394709
2019,Q2,122,Africa,12.024691,12.394709
2019,Q1,116,Africa,12.024691,12.394709
2018,Q4,106,Africa,12.024691,12.394709
2018,Q3,104,Africa,12.024691,12.394709
2018,Q2,94,Africa,12.024691,12.394709
2018,Q1,86,Africa,12.024691,12.394709
2017,Q4,82,Africa,12.024691,12.394709
2017,Q3,84,Africa,12.024691,12.394709
2017,Q2,86,Africa,12.024691,12.394709
2017,Q1,79,Africa,12.024691,12.394709
2016,Q4,78,Africa,12.024691,12.394709
2016,Q3,80,Africa,12.024691,12.394709
2016,Q2,89,Africa,12.024691,12.394709
2016,Q1,91,Africa,12.024691,12.394709
2015,Q4,91,Africa,12.024691,12.394709
2015,Q3,95,Africa,12.024691,12.394709
2015,Q2,108,Africa,12.024691,12.394709
2015,Q1,130,Africa,12.024691,12.394709
2014,Q4,135,Africa,12.024691,12.394709
2014,Q3,126,Africa,12.024691,12.394709
2014,Q2,133,Africa,12.024691,12.394709
2014,Q1,142,Africa,12.024691,12.394709
2013,Q4,135,Africa,12.024691,12.394709
2013,Q3,124,Africa,12.024691,12.394709
2013,Q2,127,Africa,12.024691,12.394709
2013,Q1,114,Africa,12.024691,12.394709
2012,Q4,103,Africa,12.024691,12.394709
2012,Q3,108,Africa,12.024691,12.394709
2012,Q2,90,Africa,12.024691,12.394709
2012,Q1,83,Africa,12.024691,12.394709
2011,Q4,82,Africa,12.024691,12.394709
2011,Q3,71,Africa,12.024691,12.394709
2011,Q2,76,Africa,12.024691,12.394709
2011,Q1,82,Africa,12.024691,12.394709
2010,Q4,83,Africa,12.024691,12.394709
2010,Q3,84,Africa,12.024691,12.394709
2010,Q2,85,Africa,12.024691,12.394709
2010,Q1,80,Africa,12.024691,12.394709
2009,Q4,67,Africa,12.024691,12.394709
2009,Q3,57,Africa,12.024691,12.394709
2009,Q2,63,Africa,12.024691,12.394709
2009,Q1,59,Africa,12.024691,12.394709
2008,Q4,62,Africa,12.024691,12.394709
2008,Q3,64,Africa,12.024691,12.394709
2008,Q2,68,Africa,12.024691,12.394709
2008,Q1,65,Africa,12.024691,12.394709
2007,Q4,71,Africa,12.024691,12.394709
2007,Q3,67,Africa,12.024691,12.394709
2007,Q2,62,Africa,12.024691,12.394709
2007,Q1,66,Africa,12.024691,12.394709
2006,Q4,68,Africa,12.024691,12.394709
2006,Q3,62,Africa,12.024691,12.394709
2006,Q2,51,Africa,12.024691,12.394709
2006,Q1,51,Africa,12.024691,12.394709
2005,Q4,48,Africa,12.024691,12.394709
2005,Q3,49,Africa,12.024691,12.394709
2005,Q2,50,Africa,12.024691,12.394709
2005,Q1,51,Africa,12.024691,12.394709
2004,Q4,50,Africa,12.024691,12.394709
2004,Q3,49,Africa,12.024691,12.394709
2004,Q2,49,Africa,12.024691,12.394709
2004,Q1,46,Africa,12.024691,12.394709
2003,Q4,55,Africa,12.024691,12.394709
2003,Q3,50,Africa,12.024691,12.394709
2003,Q2,57,Africa,12.024691,12.394709
2003,Q1,54,Africa,12.024691,12.394709
